compound,base_compound,isotope_info,neutral_formula,ion_formula,mass_type,calculated_mz
Water [M+H]+,Water,,H2O,H3O,protonated,19.01838971577
Water [M+NH4]+,Water,,H2O,H6NO,ammoniated,36.044938816780004
Water [M+Na]+,Water,,H2O,H2NaO,sodiated,41.0003339646
Water [M+K]+,Water,,H2O,H2KO,potassiated,56.9742713637
Water [2M+H]+,Water,,H4O2,H5O2,dimer_protonated,37.028954399469995
Phosphine [M+H]+,Phosphine,,PH3,H4P,protonated,35.00506175828
Phosphine [M+NH4]+,Phosphine,,PH3,H7NP,ammoniated,52.03161085929
Phosphine [M+Na]+,Phosphine,,PH3,H3NaP,sodiated,56.98700600711
Phosphine [M+K]+,Phosphine,,PH3,H3KP,potassiated,72.96094340620999
Phosphine [2M+H]+,Phosphine,,H6P2,H7P2,dimer_protonated,69.00229848449
Acetonitrile [M+H]+,Acetonitrile,,C2H3N,C2H4N,protonated,42.03437413308
Acetonitrile [M+NH4]+,Acetonitrile,,C2H3N,C2H7N2,ammoniated,59.06092323409
Acetonitrile [M+Na]+,Acetonitrile,,C2H3N,C2H3NNa,sodiated,64.01631838191
Acetonitrile [M+K]+,Acetonitrile,,C2H3N,C2H3KN,potassiated,79.99025578101
Acetonitrile [2M+H]+,Acetonitrile,,C4H6N2,C4H7N2,dimer_protonated,83.06092323409
Nitrogen dioxide [M+H]+,Nitrogen dioxide,,NO2,HNO2,protonated,47.00072827599
Nitrogen dioxide [M+NH4]+,Nitrogen dioxide,,NO2,H4N2O2,ammoniated,64.02727737699999
Nitrogen dioxide [M+Na]+,Nitrogen dioxide,,NO2,NNaO2,sodiated,68.98267252482
Nitrogen dioxide [M+K]+,Nitrogen dioxide,,NO2,KNO2,potassiated,84.95660992392
Nitrogen dioxide [2M+H]+,Nitrogen dioxide,,N2O4,HN2O4,dimer_protonated,92.99363151991
Phosphine oxide [M+H]+,Phosphine oxide,,PH3O,H4OP,protonated,50.99997637784
Phosphine oxide [M+NH4]+,Phosphine oxide,,PH3O,H7NOP,ammoniated,68.02652547885
