compound,base_compound,isotope_info,neutral_formula,ion_formula,mass_type,calculated_mz,atomic_base_mass,atomic_mz,rdkit_base_mass,rdkit_mz,atomic_difference,rdkit_difference,method_difference
Water [M+H]+,Water,,H2O,H3O,protonated,19.0183896837,18.0105646837,19.0183896837,18.010565,19.01839,0.0,3.1629999952542676e-07,3.1629999952542676e-07
Water [M+NH4]+,Water,,H2O,H6NO,ammoniated,36.0443876837,18.0105646837,36.0443876837,18.010565,36.044388,0.0,3.162999959727131e-07,3.162999959727131e-07
Water [M+Na]+,Water,,H2O,H2NaO,sodiated,41.0003336837,18.0105646837,41.0003336837,18.010565,41.000333999999995,0.0,3.162999959727131e-07,3.162999959727131e-07
Water [M+K]+,Water,,H2O,H2KO,potassiated,56.9742716837,18.0105646837,56.974271683699996,18.010565,56.974272,7.105427357601002e-15,3.162999959727131e-07,3.1630000307814043e-07
Water [2M+H]+,Water,,H4O2,H5O2,dimer_protonated,36.0211293674,36.0211293674,37.0289543674,36.02113,37.028954999999996,1.0078249999999969,1.007825632599996,6.325999990508535e-07
Phosphine [M+H]+,Phosphine,,PH3,H4P,protonated,35.0050617262,33.99723672621,35.005061726209995,33.997237,35.005061999999995,9.99733629214461e-12,2.7379999778531783e-07,2.737900004490257e-07
Phosphine [M+NH4]+,Phosphine,,PH3,H7NP,ammoniated,52.0310597262,33.99723672621,52.03105972621,33.997237,52.03106,1.000444171950221e-11,2.7379999778531783e-07,2.737899933435983e-07
Phosphine [M+Na]+,Phosphine,,PH3,H3NaP,sodiated,56.9870057262,33.99723672621,56.98700572621,33.997237,56.987005999999994,9.99733629214461e-12,2.7379999067989047e-07,2.737899933435983e-07
Phosphine [M+K]+,Phosphine,,PH3,H3KP,potassiated,72.9609437262,33.99723672621,72.96094372620999,33.997237,72.960944,9.990230864787009e-12,2.7379999778531783e-07,2.7379000755445304e-07
Phosphine [2M+H]+,Phosphine,,H6P2,H7P2,dimer_protonated,67.9944734524,67.99447345242,69.00229845241999,67.994474,69.002299,1.0078250000199915,1.0078255475999924,5.475800008980514e-07
Acetonitrile [M+H]+,Acetonitrile,,C2H3N,C2H4N,protonated,42.0343741010,41.02654910101,42.034374101009995,41.026549,42.034374,9.99733629214461e-12,1.0099999769863643e-07,1.0100999503492858e-07
Acetonitrile [M+NH4]+,Acetonitrile,,C2H3N,C2H7N2,ammoniated,59.0603721010,41.02654910101,59.06037210101,41.026549,59.060372,1.000444171950221e-11,1.0099999769863643e-07,1.0101000214035594e-07
Acetonitrile [M+Na]+,Acetonitrile,,C2H3N,C2H3NNa,sodiated,64.0163181010,41.02654910101,64.01631810101,41.026549,64.016318,1.000444171950221e-11,1.0099999769863643e-07,1.0101000214035594e-07
Acetonitrile [M+K]+,Acetonitrile,,C2H3N,C2H3KN,potassiated,79.9902561010,41.02654910101,79.99025610101,41.026549,79.990256,1.000444171950221e-11,1.0099999769863643e-07,1.0101000214035594e-07
Acetonitrile [2M+H]+,Acetonitrile,,C4H6N2,C4H7N2,dimer_protonated,82.0530982020,82.05309820202,83.06092320201999,82.053098,83.060923,1.0078250000199915,1.0078247980000015,2.0201999006985716e-07
Nitrogen dioxide [M+H]+,Nitrogen dioxide,,NO2,HNO2,protonated,47.0007282439,45.99290324392,47.000728243919994,45.992904,47.000729,1.999467258428922e-11,7.561000003875051e-07,7.560800057149208e-07
Nitrogen dioxide [M+NH4]+,Nitrogen dioxide,,NO2,H4N2O2,ammoniated,64.0267262439,45.99290324392,64.02672624392,45.992904,64.02672700000001,1.999467258428922e-11,7.561000074929325e-07,7.560800128203482e-07
Nitrogen dioxide [M+Na]+,Nitrogen dioxide,,NO2,NNaO2,sodiated,68.9826722439,45.99290324392,68.98267224391999,45.992904,68.982673,1.999467258428922e-11,7.561000074929325e-07,7.560800128203482e-07
Nitrogen dioxide [M+K]+,Nitrogen dioxide,,NO2,KNO2,potassiated,84.9566102439,45.99290324392,84.95661024392,45.992904,84.95661100000001,1.999467258428922e-11,7.561000074929325e-07,7.560800128203482e-07
Nitrogen dioxide [2M+H]+,Nitrogen dioxide,,N2O4,HN2O4,dimer_protonated,91.9858064878,91.98580648784,92.99363148783999,91.985808,92.993633,1.0078250000399862,1.0078265121999976,1.5121600114298417e-06
Phosphine oxide [M+H]+,Phosphine oxide,,PH3O,H4OP,protonated,50.9999763458,49.99215134577,50.999976345769994,49.992152,50.999976999999994,3.000621973114903e-11,6.541999937326182e-07,6.542299999523493e-07
Phosphine oxide [M+NH4]+,Phosphine oxide,,PH3O,H7NOP,ammoniated,68.0259743458,49.99215134577,68.02597434577,49.992152,68.025975,2.999911430379143e-11,6.542000079434729e-07,6.542300070577767e-07
Phosphine oxide [M+Na]+,Phosphine oxide,,PH3O,H3NaOP,sodiated,72.9819203458,49.99215134577,72.98192034576999,49.992152,72.981921,3.001332515850663e-11,6.541999937326182e-07,6.542300070577767e-07
Phosphine oxide [M+K]+,Phosphine oxide,,PH3O,H3KOP,potassiated,88.9558583458,49.99215134577,88.95585834577,49.992152,88.955859,2.999911430379143e-11,6.542000079434729e-07,6.542300070577767e-07
Phosphine oxide [2M+H]+,Phosphine oxide,,H6O2P2,H7O2P2,dimer_protonated,99.9843026915,99.98430269154,100.99212769153999,99.98430400000001,100.992129,1.0078250000399862,1.0078263085000003,1.3084600141155533e-06
Potassium hydroxide [M+H]+,Potassium hydroxide,,KOH,H2KO,protonated,56.9742713316,55.96644633163,56.97427133163,55.966446999999995,56.97427199999999,2.999911430379143e-11,6.683999913548178e-07,6.68369992240514e-07
Potassium hydroxide [M+NH4]+,Potassium hydroxide,,KOH,H5KNO,ammoniated,74.0002693316,55.96644633163,74.00026933163001,55.966446999999995,74.00027,3.001332515850663e-11,6.684000055656725e-07,6.68369992240514e-07
Potassium hydroxide [M+Na]+,Potassium hydroxide,,KOH,HKNaO,sodiated,78.9562153316,55.96644633163,78.95621533163,55.966446999999995,78.956216,2.999911430379143e-11,6.683999913548178e-07,6.68369992240514e-07
