compound,base_compound,isotope_info,neutral_formula,ion_formula,mass_type,calculated_mz
Water [M+H]+,Water,,H2O,H3O,protonated,19.023227188817746
Water [M+NH4]+,Water,,H2O,H6NO,ammoniated,36.053752662316995
Water [M+Na]+,Water,,H2O,H2NaO,sodiated,41.00505571582199
Water [M+K]+,Water,,H2O,H2KO,potassiated,57.11358755938475
Water [2M+H]+,Water,,H4O2,H5O2,dimer_protonated,37.03851362373973
Phosphine [M+H]+,Phosphine,,PH3,H4P,protonated,35.00552464558304
Phosphine [M+NH4]+,Phosphine,,PH3,H7NP,ammoniated,52.03605011908229
Phosphine [M+Na]+,Phosphine,,PH3,H3NaP,sodiated,56.98735317258728
Phosphine [M+K]+,Phosphine,,PH3,H3KP,potassiated,73.09588501615004
Phosphine [2M+H]+,Phosphine,,H6P2,H7P2,dimer_protonated,69.00310853727031
Acetonitrile [M+H]+,Acetonitrile,,C2H3N,C2H4N,protonated,42.05993802092393
Acetonitrile [M+NH4]+,Acetonitrile,,C2H3N,C2H7N2,ammoniated,59.090463494423176
Acetonitrile [M+Na]+,Acetonitrile,,C2H3N,C2H3NNa,sodiated,64.04176654792818
Acetonitrile [M+K]+,Acetonitrile,,C2H3N,C2H3KN,potassiated,80.15029839149094
Acetonitrile [2M+H]+,Acetonitrile,,C4H6N2,C4H7N2,dimer_protonated,83.1119352879521
Nitrogen dioxide [M+H]+,Nitrogen dioxide,,NO2,HNO2,protonated,47.013453819968674
Nitrogen dioxide [M+NH4]+,Nitrogen dioxide,,NO2,H4N2O2,ammoniated,64.04397929346793
Nitrogen dioxide [M+Na]+,Nitrogen dioxide,,NO2,NNaO2,sodiated,68.99528234697291
Nitrogen dioxide [M+K]+,Nitrogen dioxide,,NO2,KNO2,potassiated,85.10381419053567
Nitrogen dioxide [2M+H]+,Nitrogen dioxide,,N2O4,HN2O4,dimer_protonated,93.01896688604158
Phosphine oxide [M+H]+,Phosphine oxide,,PH3O,H4OP,protonated,51.0049295727135
Phosphine oxide [M+NH4]+,Phosphine oxide,,PH3O,H7NOP,ammoniated,68.03545504621275
Phosphine oxide [M+Na]+,Phosphine oxide,,PH3O,H3NaOP,sodiated,72.98675809971775
Phosphine oxide [M+K]+,Phosphine oxide,,PH3O,H3KOP,potassiated,89.0952899432805
Phosphine oxide [2M+H]+,Phosphine oxide,,H6O2P2,H7O2P2,dimer_protonated,101.00191839153125
Potassium hydroxide [M+H]+,Potassium hydroxide,,KOH,H2KO,protonated,57.11358755938475
Potassium hydroxide [M+NH4]+,Potassium hydroxide,,KOH,H5KNO,ammoniated,74.144113032884
Potassium hydroxide [M+Na]+,Potassium hydroxide,,KOH,HKNaO,sodiated,79.09541608638898
Potassium hydroxide [M+K]+,Potassium hydroxide,,KOH,HK2O,potassiated,95.20394792995174
Potassium hydroxide [2M+H]+,Potassium hydroxide,,H2K2O2,H3K2O2,dimer_protonated,113.21923436487373
Acetone [M+H]+,Acetone,,C3H6O,C3H7O,protonated,59.08719789469416
Acetone [M+NH4]+,Acetone,,C3H6O,C3H10NO,ammoniated,76.11772336819341
Acetone [M+Na]+,Acetone,,C3H6O,C3H6NaO,sodiated,81.0690264216984
Acetone [M+K]+,Acetone,,C3H6O,C3H6KO,potassiated,97.17755826526115
Acetone [2M+H]+,Acetone,,C6H12O2,C6H13O2,dimer_protonated,117.16645503549256
Silica [M+H]+,Silica,,SiO2,HO2Si,protonated,61.09224931457557
Silica [M+NH4]+,Silica,,SiO2,H4NO2Si,ammoniated,78.12277478807482
Silica [M+Na]+,Silica,,SiO2,NaO2Si,sodiated,83.07407784157981
Silica [M+K]+,Silica,,SiO2,KO2Si,potassiated,99.18260968514257
Silica [2M+H]+,Silica,,O4Si2,HO4Si2,dimer_protonated,121.17655787525538
Isopropanol [M+H]+,Isopropanol,,C3H8O,C3H9O,protonated,61.103079402485676
Isopropanol [M+NH4]+,Isopropanol,,C3H8O,C3H12NO,ammoniated,78.13360487598491
Isopropanol [M+Na]+,Isopropanol,,C3H8O,C3H8NaO,sodiated,83.08490792948992
