scan_number,compound,theoretical_mz,observed_mz,mz_difference,tolerance_used,intensity,sn_ratio,mass_type,molecular_formula
1,DMSO [M+H]+,79.02176084405,79.0169,0.004860844049986213,0.01,2238.0,90.5,protonated,C2H6OS
1,DMSO-d6 [M+H]+,85.059423,85.0596,0.0001770000000078653,0.01,11603.0,473.9,protonated,C2D6OS
1,Piperidine [M+H]+,86.09697399999999,86.0923,0.004673999999994294,0.01,1283.0,52.4,protonated,C5H11N
1,Toluene [M+H]+,93.070425,93.0649,0.005525000000005775,0.01,38596.0,1588.0,protonated,C7H8
1,Aniline [M+H]+,94.065674,94.0634,0.0022739999999998872,0.01,5246.0,216.2,protonated,C6H7N
1,Silicic acid [M+H]+,96.995712,97.0005,0.0047880000000048994,0.01,137.0,5.7,protonated,H4SiO4
1,Phosphoric acid [M+H]+,98.984722,98.9795,0.005222000000003391,0.01,2191.0,90.9,protonated,H3PO4
1,Triethylamine [M+H]+,102.12827451792,102.1227,0.00557451792001018,0.01,1101.0,45.7,protonated,C6H15N
1,PBG fragment 1 [M+H]+,122.060589,122.0556,0.004988999999994803,0.01,5054.0,211.4,protonated,C7H7NO
1,PBG fragment 2 [M+H]+,125.060255,125.0535,0.00675499999999829,0.01,21720.0,910.5,protonated,C7H8O2
1,Quinoline [M+H]+,130.06567426136002,130.0522,0.013474261360016726,0.02,1616.0,67.6,protonated,C9H7N
1,Quinoline [M+H]+,130.06567426136002,130.0829,0.017225738639979227,0.02,2508.0,105.0,protonated,C9H7N
1,Coumarin [M+H]+,147.044605,147.0398,0.004804999999976189,0.01,2151.0,89.2,protonated,C9H6O2
1,Lead stearate [M+H]+,150.1130183766,150.1138,0.000781623400001763,0.01,4995.0,205.8,protonated,C6H15NO3
1,Triethanolamine [M+H]+,150.11301899999998,150.1138,0.0007810000000176842,0.01,4995.0,205.8,protonated,C6H15NO3
1,WPBG-027 fragment [M+H]+,164.071154,164.0716,0.0004459999999824049,0.01,3356.0,134.6,protonated,C9H9NO2
1,Diphenylphosphine [M+H]+,187.06766201484,187.0577,0.009962014839999256,0.01,1424.0,54.2,protonated,C12H11P
1,3-MPTMS [M+H]+,209.06676693637,209.0771,0.010333063630014294,0.02,1420.0,49.9,protonated,C7H16O3SSi
1,PBG [M+H]+,232.13375382118,232.1458,0.012046178820014575,0.02,2162.0,68.3,protonated,C14H17NO2
1,WPBG-027 [M+H]+,232.13375382118,232.1458,0.012046178820014575,0.02,2162.0,68.3,protonated,C14H17NO2
1,TBA+ [M+Na]+,242.28477515932,242.2721,0.012675159319996965,0.02,183.0,5.5,sodium_adduct,C16H36N
1,TBA+ [M]+,242.28477515932,242.2721,0.012675159319996965,0.02,183.0,5.5,cation,C16H36N
1,Linoleic acid [M+Na]+,305.24565,305.2353,0.010350000000016735,0.02,1917.0,39.0,sodium_adduct,C18H34O2
1,Oleic acid [M+Na]+,305.24565,305.2353,0.010350000000016735,0.02,1917.0,39.0,sodium_adduct,C18H34O2
1,Stearic acid [M+Na]+,307.2613,307.2483,0.013000000000033651,0.02,1419.0,28.5,sodium_adduct,C18H36O2
1,Lead acetate [M+H]+,327.01108700000003,326.9946,0.016487000000040553,0.02,8155.0,150.1,protonated,PbC4H6O4
1,TOPO [M+H]+,387.3755779172,387.3591,0.016477917200006686,0.02,2002.0,33.4,protonated,C24H51OP
2,DMSO [M+H]+,79.02176084405,79.0172,0.0045608440499904646,0.01,2191.0,88.2,protonated,C2H6OS
2,DMSO-d6 [M+H]+,85.059423,85.0596,0.0001770000000078653,0.01,11669.0,475.9,protonated,C2D6OS
2,Piperidine [M+H]+,86.09697399999999,86.0921,0.004873999999986722,0.01,1156.0,47.2,protonated,C5H11N
2,Toluene [M+H]+,93.070425,93.0649,0.005525000000005775,0.01,39079.0,1610.0,protonated,C7H8
2,Aniline [M+H]+,94.065674,94.0629,0.0027740000000022746,0.01,5443.0,224.8,protonated,C6H7N
2,Phosphoric acid [M+H]+,98.984722,98.9793,0.00542200000001003,0.01,2120.0,88.1,protonated,H3PO4
2,Triethylamine [M+H]+,102.12827451792,102.1223,0.005974517920009248,0.01,1012.0,42.1,protonated,C6H15N
2,PBG fragment 1 [M+H]+,122.060589,122.0551,0.005488999999997191,0.01,5149.0,215.3,protonated,C7H7NO
2,PBG fragment 2 [M+H]+,125.060255,125.0536,0.0066549999999949705,0.01,20886.0,875.7,protonated,C7H8O2
2,Quinoline [M+H]+,130.06567426136002,130.0523,0.013374261360013406,0.02,1812.0,75.8,protonated,C9H7N
2,Quinoline [M+H]+,130.06567426136002,130.0831,0.017425738639985866,0.02,2254.0,94.3,protonated,C9H7N
2,Coumarin [M+H]+,147.044605,147.0389,0.005704999999977645,0.01,2441.0,101.3,protonated,C9H6O2
2,Lead stearate [M+H]+,150.1130183766,150.1143,0.0012816233999899396,0.01,4894.0,201.1,protonated,C6H15NO3
2,Triethanolamine [M+H]+,150.11301899999998,150.1143,0.0012810000000058608,0.01,4894.0,201.1,protonated,C6H15NO3
2,WPBG-027 fragment [M+H]+,164.071154,164.0713,0.00014600000000086766,0.01,3195.0,127.5,protonated,C9H9NO2
2,Diphenylphosphine [M+H]+,187.06766201484,187.0549,0.012762014840006941,0.02,1638.0,61.9,protonated,C12H11P
2,3-MPTMS [M+H]+,209.06676693637,209.0773,0.010533063630020933,0.02,1344.0,46.3,protonated,C7H16O3SSi
2,PBG [M+H]+,232.13375382118,232.148,0.014246178820002342,0.02,2191.0,67.8,protonated,C14H17NO2
2,WPBG-027 [M+H]+,232.13375382118,232.148,0.014246178820002342,0.02,2191.0,67.8,protonated,C14H17NO2
2,TBA+ [M+Na]+,242.28477515932,242.2718,0.012975159319978502,0.02,178.0,5.2,sodium_adduct,C16H36N
2,TBA+ [M]+,242.28477515932,242.2718,0.012975159319978502,0.02,178.0,5.2,cation,C16H36N
2,1-Octadecene [M+H]+,253.289525,253.2706,0.018924999999995862,0.02,426.0,11.7,protonated,C18H36
2,Linoleic acid [M+Na]+,305.24565,305.2355,0.010150000000010095,0.02,2160.0,41.4,sodium_adduct,C18H34O2
2,Oleic acid [M+Na]+,305.24565,305.2355,0.010150000000010095,0.02,2160.0,41.4,sodium_adduct,C18H34O2
2,Stearic acid [M+Na]+,307.2613,307.2513,0.009999999999990905,0.01,1652.0,31.3,sodium_adduct,C18H36O2
2,Lead acetate [M+H]+,327.01108700000003,326.9951,0.015987000000052376,0.02,7838.0,136.5,protonated,PbC4H6O4
2,TOPO [M+H]+,387.3755779172,387.3594,0.01617791720002515,0.02,1990.0,32.0,protonated,C24H51OP
3,DMSO [M+H]+,79.02176084405,79.0169,0.004860844049986213,0.01,2349.0,98.6,protonated,C2H6OS
3,DMSO-d6 [M+H]+,85.059423,85.0593,0.00012300000000209366,0.01,11342.0,480.3,protonated,C2D6OS
3,Piperidine [M+H]+,86.09697399999999,86.0921,0.004873999999986722,0.01,1005.0,42.6,protonated,C5H11N
3,Toluene [M+H]+,93.070425,93.065,0.005425000000002456,0.01,40692.0,1731.9,protonated,C7H8
3,Aniline [M+H]+,94.065674,94.0633,0.002374000000003207,0.01,5369.0,228.7,protonated,C6H7N
3,Silicic acid [M+H]+,96.995712,96.9995,0.0037880000000001246,0.01,142.0,6.1,protonated,H4SiO4
3,Phosphoric acid [M+H]+,98.984722,98.9791,0.005622000000002458,0.01,2194.0,93.6,protonated,H3PO4
