compound,base_compound,isotope_info,neutral_formula,ion_formula,mass_type
Water [M+H]+,Water,,H2O,H3O,protonated
Water [M+NH4]+,Water,,H2O,H6NO,ammoniated
Water [M+Na]+,Water,,H2O,H2NaO,sodiated
Water [M+K]+,Water,,H2O,H2KO,potassiated
Water [2M+H]+,Water,,H4O2,H5O2,dimer_protonated
Phosphine [M+H]+,Phosphine,,PH3,H4P,protonated
Phosphine [M+NH4]+,Phosphine,,PH3,H7NP,ammoniated
Phosphine [M+Na]+,Phosphine,,PH3,H3NaP,sodiated
Phosphine [M+K]+,Phosphine,,PH3,H3KP,potassiated
Phosphine [2M+H]+,Phosphine,,H6P2,H7P2,dimer_protonated
Acetonitrile [M+H]+,Acetonitrile,,C2H3N,C2H4N,protonated
Acetonitrile [M+NH4]+,Acetonitrile,,C2H3N,C2H7N2,ammoniated
Acetonitrile [M+Na]+,Acetonitrile,,C2H3N,C2H3NNa,sodiated
Acetonitrile [M+K]+,Acetonitrile,,C2H3N,C2H3KN,potassiated
Acetonitrile [2M+H]+,Acetonitrile,,C4H6N2,C4H7N2,dimer_protonated
Nitrogen dioxide [M+H]+,Nitrogen dioxide,,NO2,HNO2,protonated
Nitrogen dioxide [M+NH4]+,Nitrogen dioxide,,NO2,H4N2O2,ammoniated
Nitrogen dioxide [M+Na]+,Nitrogen dioxide,,NO2,NNaO2,sodiated
Nitrogen dioxide [M+K]+,Nitrogen dioxide,,NO2,KNO2,potassiated
Nitrogen dioxide [2M+H]+,Nitrogen dioxide,,N2O4,HN2O4,dimer_protonated
Phosphine oxide [M+H]+,Phosphine oxide,,PH3O,H4OP,protonated
Phosphine oxide [M+NH4]+,Phosphine oxide,,PH3O,H7NOP,ammoniated
Phosphine oxide [M+Na]+,Phosphine oxide,,PH3O,H3NaOP,sodiated
Phosphine oxide [M+K]+,Phosphine oxide,,PH3O,H3KOP,potassiated
Phosphine oxide [2M+H]+,Phosphine oxide,,H6O2P2,H7O2P2,dimer_protonated
Potassium hydroxide [M+H]+,Potassium hydroxide,,KOH,H2KO,protonated
Potassium hydroxide [M+NH4]+,Potassium hydroxide,,KOH,H5KNO,ammoniated
Potassium hydroxide [M+Na]+,Potassium hydroxide,,KOH,HKNaO,sodiated
Potassium hydroxide [M+K]+,Potassium hydroxide,,KOH,HK2O,potassiated
Potassium hydroxide [2M+H]+,Potassium hydroxide,,H2K2O2,H3K2O2,dimer_protonated
Acetone [M+H]+,Acetone,,C3H6O,C3H7O,protonated
Acetone [M+NH4]+,Acetone,,C3H6O,C3H10NO,ammoniated
Acetone [M+Na]+,Acetone,,C3H6O,C3H6NaO,sodiated
