compound,base_compound,isotope_info,neutral_formula,ion_formula,mass_type,calculated_mz,atomic_base_mass,atomic_mz,rdkit_base_mass,rdkit_mz,atomic_difference,rdkit_difference,method_difference
Water [M+H]+,Water,,H2O,H3O,protonated,19.0183896837,18.0105646837,19.0183896837,,,0.0,,
Water [M+NH4]+,Water,,H2O,H6NO,ammoniated,36.0443876837,18.0105646837,36.0443876837,,,0.0,,
Water [M+Na]+,Water,,H2O,H2NaO,sodiated,41.0003336837,18.0105646837,41.0003336837,,,0.0,,
Water [M+K]+,Water,,H2O,H2KO,potassiated,56.9742716837,18.0105646837,56.974271683699996,,,7.105427357601002e-15,,
Water [2M+H]+,Water,,H4O2,H5O2,dimer_protonated,36.0211293674,36.0211293674,37.0289543674,,,1.0078249999999969,,
Phosphine [M+H]+,Phosphine,,PH3,H4P,protonated,35.0050617262,33.99723672621,35.005061726209995,,,9.99733629214461e-12,,
Phosphine [M+NH4]+,Phosphine,,PH3,H7NP,ammoniated,52.0310597262,33.99723672621,52.03105972621,,,1.000444171950221e-11,,
Phosphine [M+Na]+,Phosphine,,PH3,H3NaP,sodiated,56.9870057262,33.99723672621,56.98700572621,,,9.99733629214461e-12,,
Phosphine [M+K]+,Phosphine,,PH3,H3KP,potassiated,72.9609437262,33.99723672621,72.96094372620999,,,9.990230864787009e-12,,
Phosphine [2M+H]+,Phosphine,,H6P2,H7P2,dimer_protonated,67.9944734524,67.99447345242,69.00229845241999,,,1.0078250000199915,,
Acetonitrile [M+H]+,Acetonitrile,,C2H3N,C2H4N,protonated,42.0343741010,41.02654910101,42.034374101009995,,,9.99733629214461e-12,,
Acetonitrile [M+NH4]+,Acetonitrile,,C2H3N,C2H7N2,ammoniated,59.0603721010,41.02654910101,59.06037210101,,,1.000444171950221e-11,,
Acetonitrile [M+Na]+,Acetonitrile,,C2H3N,C2H3NNa,sodiated,64.0163181010,41.02654910101,64.01631810101,,,1.000444171950221e-11,,
Acetonitrile [M+K]+,Acetonitrile,,C2H3N,C2H3KN,potassiated,79.9902561010,41.02654910101,79.99025610101,,,1.000444171950221e-11,,
Acetonitrile [2M+H]+,Acetonitrile,,C4H6N2,C4H7N2,dimer_protonated,82.0530982020,82.05309820202,83.06092320201999,,,1.0078250000199915,,
Nitrogen dioxide [M+H]+,Nitrogen dioxide,,NO2,HNO2,protonated,47.0007282439,45.99290324392,47.000728243919994,,,1.999467258428922e-11,,
Nitrogen dioxide [M+NH4]+,Nitrogen dioxide,,NO2,H4N2O2,ammoniated,64.0267262439,45.99290324392,64.02672624392,,,1.999467258428922e-11,,
Nitrogen dioxide [M+Na]+,Nitrogen dioxide,,NO2,NNaO2,sodiated,68.9826722439,45.99290324392,68.98267224391999,,,1.999467258428922e-11,,
Nitrogen dioxide [M+K]+,Nitrogen dioxide,,NO2,KNO2,potassiated,84.9566102439,45.99290324392,84.95661024392,,,1.999467258428922e-11,,
Nitrogen dioxide [2M+H]+,Nitrogen dioxide,,N2O4,HN2O4,dimer_protonated,91.9858064878,91.98580648784,92.99363148783999,,,1.0078250000399862,,
Phosphine oxide [M+H]+,Phosphine oxide,,PH3O,H4OP,protonated,50.9999763458,49.99215134577,50.999976345769994,,,3.000621973114903e-11,,
Phosphine oxide [M+NH4]+,Phosphine oxide,,PH3O,H7NOP,ammoniated,68.0259743458,49.99215134577,68.02597434577,,,2.999911430379143e-11,,
Phosphine oxide [M+Na]+,Phosphine oxide,,PH3O,H3NaOP,sodiated,72.9819203458,49.99215134577,72.98192034576999,,,3.001332515850663e-11,,
Phosphine oxide [M+K]+,Phosphine oxide,,PH3O,H3KOP,potassiated,88.9558583458,49.99215134577,88.95585834577,,,2.999911430379143e-11,,
Phosphine oxide [2M+H]+,Phosphine oxide,,H6O2P2,H7O2P2,dimer_protonated,99.9843026915,99.98430269154,100.99212769153999,,,1.0078250000399862,,
Potassium hydroxide [M+H]+,Potassium hydroxide,,KOH,H2KO,protonated,56.9742713316,55.96644633163,56.97427133163,,,2.999911430379143e-11,,
Potassium hydroxide [M+NH4]+,Potassium hydroxide,,KOH,H5KNO,ammoniated,74.0002693316,55.96644633163,74.00026933163001,,,3.001332515850663e-11,,
Potassium hydroxide [M+Na]+,Potassium hydroxide,,KOH,HKNaO,sodiated,78.9562153316,55.96644633163,78.95621533163,,,2.999911430379143e-11,,
Potassium hydroxide [M+K]+,Potassium hydroxide,,KOH,HK2O,potassiated,94.9301533316,55.96644633163,94.93015333163001,,,3.001332515850663e-11,,
Potassium hydroxide [2M+H]+,Potassium hydroxide,,H2K2O2,H3K2O2,dimer_protonated,111.9328926633,111.93289266326,112.94071766326,,,1.0078249999600075,,
