compound,base_compound,isotope_info,molecular_formula,mass_type
Water [M+H]+,Water,,H2O,protonated
Phosphine [M+H]+,Phosphine,,PH3,protonated
Potassium ion [M]+,Potassium ion,,K,cation
Acetonitrile [M+H]+,Acetonitrile,,C2H3N,protonated
Nitrogen dioxide [M+H]+,Nitrogen dioxide,,NO2,protonated
Phosphine oxide [M+H]+,Phosphine oxide,,PH3O,protonated
Potassium hydroxide [M+H]+,Potassium hydroxide,,KOH,protonated
Acetone [M+H]+,Acetone,,C3H6O,protonated
Silica [M+H]+,Silica,,SiO2,protonated
Isopropanol [M+H]+,Isopropanol,,C3H8O,protonated
"1,2-Ethylenediamine [M+H]+","1,2-Ethylenediamine",,C2H8N2,protonated
Ethylene glycol [M+H]+,Ethylene glycol,,C2H6O2,protonated
Nitric acid [M+H]+,Nitric acid,,HNO3,protonated
DMSO [M+H]+,DMSO,,C2H6OS,protonated
DMSO-d6 [M+H]+,DMSO-d6,,C2D6OS,protonated
Piperidine [M+H]+,Piperidine,,C5H11N,protonated
Hexanes [M+H]+,Hexanes,,C6H14,protonated
Toluene [M+H]+,Toluene,,C7H8,protonated
Aniline [M+H]+,Aniline,,C6H7N,protonated
Silicic acid [M+H]+,Silicic acid,,H4SiO4,protonated
Phosphoric acid [M+H]+,Phosphoric acid,,H3PO4,protonated
Triethylamine [M+H]+,Triethylamine,,C6H15N,protonated
Selenium dioxide [M+H]+,Selenium dioxide,80Se,SeO2,protonated
PBG fragment 1 [M+H]+,PBG fragment 1,,C7H7NO,protonated
PBG fragment 2 [M+H]+,PBG fragment 2,,C7H8O2,protonated
Quinoline [M+H]+,Quinoline,,C9H7N,protonated
Selenic acid [M+H]+,Selenic acid,80Se,H2SeO4,protonated
Coumarin [M+H]+,Coumarin,,C9H6O2,protonated
Lead stearate [M+H]+,Lead stearate,,C6H15NO3,protonated
Triethanolamine [M+H]+,Triethanolamine,,C6H15NO3,protonated
Quinoline [M+Na]+,Quinoline,,C9H7N,sodium_adduct
WPBG-027 fragment [M+H]+,WPBG-027 fragment,,C9H9NO2,protonated
